1.00_10,1.00_20,1.00_40,1.00_60,2.80_10,2.80_20,2.80_40,2.80_60,3.00_10,3.00_20,3.00_40,3.00_60,3.50_10,3.50_20,3.50_40,3.50_60,4.00_10,4.00_20,4.00_40,4.00_60
0,0,0,0,0,0,0,1,0,0,0,0,0,29,57,102,14,28,63,75
0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,107,14,38,74,70
0,0,0,0,0,0,0,0,0,0,1,0,0,14,66,76,22,17,60,61
0,0,0,0,0,0,0,0,0,0,0,0,0,23,71,118,12,26,59,64
0,0,0,0,0,0,0,0,0,0,0,0,0,23,69,115,18,37,62,85
0,0,0,0,0,0,0,0,0,0,0,0,0,32,55,87,14,29,63,71
0,0,0,0,0,0,0,0,0,0,0,0,0,28,65,102,11,24,69,69
0,0,0,0,0,0,0,0,0,0,1,0,0,27,75,106,14,20,70,71
0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,112,12,29,58,62
0,0,0,0,0,0,0,0,0,0,0,0,0,22,67,90,18,30,49,76
0,0,0,0,0,0,0,0,0,0,1,0,0,24,65,94,10,31,60,54
0,0,0,0,0,0,0,0,0,0,0,0,0,29,70,120,14,27,60,74
0,0,0,0,0,0,0,0,0,0,0,0,0,25,72,107,13,23,54,81
0,0,0,0,0,0,0,0,0,0,0,0,0,32,62,115,15,27,61,69
0,0,0,0,0,0,0,0,0,0,0,1,0,26,53,109,11,29,77,75
0,0,0,0,0,0,0,0,0,0,0,0,0,15,68,95,17,31,59,81
0,0,0,0,0,0,0,0,0,0,0,0,0,34,67,113,19,28,60,72
0,0,0,0,0,0,0,0,0,0,0,0,0,20,63,91,14,21,50,80
0,0,0,0,0,0,0,0,0,0,0,0,0,19,58,95,23,31,48,62
0,0,0,0,0,0,0,0,0,0,0,0,0,35,54,91,11,28,50,71
0,0,0,0,0,0,0,0,0,0,0,0,0,24,66,94,15,16,36,77
0,0,0,0,0,0,0,0,0,0,0,0,0,22,70,84,11,12,53,66
0,0,0,0,0,0,0,0,0,0,0,0,1,19,63,100,12,25,44,63
0,0,0,0,0,0,0,0,0,0,0,0,0,20,64,94,11,33,45,56
0,0,0,0,0,0,0,0,0,0,0,0,0,23,49,79,24,28,41,65
0,0,0,0,0,0,0,0,0,0,0,0,0,17,68,102,11,20,45,69
0,0,0,0,0,0,0,0,0,0,0,0,0,24,58,99,9,27,51,71
0,0,0,0,0,0,0,0,0,0,0,0,0,22,57,94,11,18,60,74
0,0,0,0,0,0,0,0,0,0,0,0,0,16,57,95,18,18,62,58
0,0,0,0,0,0,0,0,0,0,0,0,0,18,55,92,19,28,53,61
0,0,0,0,0,0,0,0,0,0,0,0,0,27,60,89,12,30,60,69
0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,70,16,28,42,56
0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,93,19,15,48,70
0,0,0,0,0,0,0,0,0,0,0,0,0,27,58,101,17,20,49,65
0,0,0,0,0,0,0,0,0,0,0,0,0,18,53,90,10,18,42,61
0,0,0,0,0,0,0,0,0,0,0,0,0,19,51,97,16,30,41,51
0,0,0,0,0,0,0,0,0,0,0,0,0,29,47,72,11,17,42,60
0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,78,11,26,46,68
0,0,0,0,0,0,0,0,0,0,0,0,0,20,56,96,8,16,45,56
0,0,0,0,0,0,0,0,0,0,0,0,0,22,50,75,10,16,47,55
0,0,0,0,0,0,0,0,0,0,0,0,0,15,50,84,13,25,38,62
0,0,0,0,0,0,0,0,0,0,0,0,0,18,60,77,8,27,40,66
0,0,0,0,0,0,0,0,0,0,0,0,0,26,56,83,12,24,51,38
0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,86,12,22,47,54
0,0,0,0,0,0,0,0,0,0,0,0,0,17,58,85,12,27,48,56
0,0,0,0,0,0,0,0,0,0,0,0,0,21,56,84,12,22,41,59
0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,84,10,20,58,47
0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,88,12,15,58,56
0,0,0,0,0,0,0,0,0,0,0,0,0,20,59,67,12,22,44,55
0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,83,13,27,61,68
