,equation,energy,concentration,exponent,value
615,TED,3.50kT,60然,coeff3,19781.38833013596
616,TED,4.00kT,10然,coeff3,988.282089708724
617,TED,4.00kT,20然,coeff3,969.0860223222384
618,TED,4.00kT,40然,coeff3,1015.6602060028348
619,TED,4.00kT,60然,coeff3,1195.3565355873438
620,QED,1.00kT,10然,coeff3,173802.0703692396
621,QED,1.00kT,20然,coeff3,63132.95745040312
622,QED,1.00kT,40然,coeff3,237372.3609551896
623,QED,1.00kT,60然,coeff3,226138.51637536104
624,QED,2.80kT,10然,coeff3,129600.3401432954
625,QED,2.80kT,20然,coeff3,217708.4710844278
626,QED,2.80kT,40然,coeff3,258750.87620610817
627,QED,2.80kT,60然,coeff3,402022.6285907587
628,QED,3.00kT,10然,coeff3,29156.450385927445
629,QED,3.00kT,20然,coeff3,137843.99513819776
630,QED,3.00kT,40然,coeff3,194040.154818922
631,QED,3.00kT,60然,coeff3,201969.440192244
632,QED,3.50kT,10然,coeff3,37673.481722353165
633,QED,3.50kT,20然,coeff3,25771.342017937848
634,QED,3.50kT,40然,coeff3,18932.287770429422
635,QED,3.50kT,60然,coeff3,17723.08407012319
636,QED,4.00kT,10然,coeff3,1927.1604289786703
637,QED,4.00kT,20然,coeff3,1545.8455516810068
638,QED,4.00kT,40然,coeff3,1045.7027696241723
639,QED,4.00kT,60然,coeff3,1264.3845681893938
640,PED,1.00kT,10然,coeff3,77510.73968115698
641,PED,1.00kT,20然,coeff3,63132.25464610748
642,PED,1.00kT,40然,coeff3,237363.37416171603
643,PED,1.00kT,60然,coeff3,234983.3916526716
644,PED,2.80kT,10然,coeff3,65628.79101035919
645,PED,2.80kT,20然,coeff3,109733.21667672404
646,PED,2.80kT,40然,coeff3,129615.90142957991
647,PED,2.80kT,60然,coeff3,130538.1626850067
648,PED,3.00kT,10然,coeff3,49101.58271910713
649,PED,3.00kT,20然,coeff3,137843.59278378793
650,PED,3.00kT,40然,coeff3,97506.68079599975
651,PED,3.00kT,60然,coeff3,101590.61747950768
652,PED,3.50kT,10然,coeff3,19060.218791945263
653,PED,3.50kT,20然,coeff3,6785.673064854865
654,PED,3.50kT,40然,coeff3,13867.886926157444
655,PED,3.50kT,60然,coeff3,7690.195383057532
656,PED,4.00kT,10然,coeff3,900.8456229820707
657,PED,4.00kT,20然,coeff3,1312.2714168506882
658,PED,4.00kT,40然,coeff3,526.4502987568841
659,PED,4.00kT,60然,coeff3,819.4292517728109
740,TED,1.00kT,10然,tau3,2.4085851460403696
741,TED,1.00kT,20然,tau3,2.4061925112097535
742,TED,1.00kT,40然,tau3,2.4033887286130238
743,TED,1.00kT,60然,tau3,2.395943504984863
744,TED,2.80kT,10然,tau3,2.9117642762876215
745,TED,2.80kT,20然,tau3,3.572602395934031
746,TED,2.80kT,40然,tau3,3.645460597575068
747,TED,2.80kT,60然,tau3,3.6084923353392524
748,TED,3.00kT,10然,tau3,3.65729983757997
749,TED,3.00kT,20然,tau3,3.880777855690063
750,TED,3.00kT,40然,tau3,3.907608711883441
751,TED,3.00kT,60然,tau3,3.9405017359396703
